County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Alpine,4/1/20,1,0,,,,
Sierra,4/1/20,0,0,,,,
Modoc,4/1/20,,,0,1,0,0
Alameda,4/2/20,345,10,57,76,29,17
Alpine,4/2/20,1,0,,,,
Amador,4/2/20,2,0,0,3,0,0
Butte,4/2/20,7,0,4,26,2,2
Calaveras,4/2/20,3,0,0,1,0,0
Colusa,4/2/20,1,0,0,1,0,1
Contra Costa,4/2/20,297,3,32,38,13,10
Del Norte,4/2/20,0,0,0,3,0,0
El Dorado,4/2/20,16,0,15,12,0,6
Fresno,4/2/20,92,0,17,74,6,13
Glenn,4/2/20,2,0,0,0,0,0
Humboldt,4/2/20,23,0,1,8,0,2
Imperial,4/2/20,24,0,4,16,3,5
Inyo,4/2/20,8,0,8,102,0,1
Kern,4/2/20,74,0,27,77,12,23
Kings,4/2/20,3,0,2,6,1,1
Lake,4/2/20,0,0,0,1,0,0
Lassen,4/2/20,0,0,0,7,0,0
Los Angeles,4/2/20,4040,79,818,1270,346,193
Madera,4/2/20,25,1,1,7,1,3
Marin,4/2/20,102,1,7,16,3,1
Mariposa,4/2/20,0,0,0,1,0,0
Mendocino,4/2/20,4,0,0,1,0,0
Merced,4/2/20,9,0,4,5,0,1
Mono,4/2/20,16,1,18,2,0,0
Monterey,4/2/20,50,2,14,14,4,2
Napa,4/2/20,13,0,1,4,1,1
Nevada,4/2/20,17,0,38,58,2,1
Orange,4/2/20,640,12,129,225,67,47
Placer,4/2/20,72,2,32,15,9,0
Plumas,4/2/20,1,0,0,0,0,0
Riverside,4/2/20,438,13,136,181,45,49
Sacramento,4/2/20,322,9,71,92,24,19
San Benito,4/2/20,18,1,2,0,2,0
San Bernardino,4/2/20,335,8,126,185,50,45
San Diego,4/2/20,968,16,144,343,69,35
San Francisco,4/2/20,473,6,75,60,32,11
San Joaquin,4/2/20,148,9,42,42,20,7
San Luis Obispo,4/2/20,79,0,5,5,4,4
San Mateo,4/2/20,423,13,62,40,26,4
Santa Barbara,4/2/20,125,1,26,44,18,10
Santa Clara,4/2/20,908,38,163,101,69,19
Santa Cruz,4/2/20,49,1,4,4,3,0
Shasta,4/2/20,7,1,2,4,1,0
Sierra,4/2/20,0,0,,,,
Siskiyou,4/2/20,3,0,0,3,0,2
Solano,4/2/20,65,0,15,8,7,1
Sonoma,4/2/20,76,1,8,18,1,0
Stanislaus,4/2/20,40,0,30,43,11,7
Sutter,4/2/20,10,1,0,0,,
Tehama,4/2/20,1,0,0,1,0,1
Trinity,4/2/20,0,0,0,0,0,0
Tulare,4/2/20,64,1,4,26,4,5
Tuolumne,4/2/20,1,0,0,0,0,0
Unassigned,4/2/20,49,1,,,,
Ventura,4/2/20,178,5,27,111,7,24
Yolo,4/2/20,29,1,3,2,2,3
Yuba,4/2/20,5,0,2,25,2,6
Alameda,4/3/20,395,11,64,74,32,13
Alpine,4/3/20,1,0,,,,
Amador,4/3/20,2,0,0,0,0,0
Butte,4/3/20,8,0,3,19,2,6
Calaveras,4/3/20,3,0,0,1,0,0
Colusa,4/3/20,1,0,1,0,1,0
Contra Costa,4/3/20,327,5,31,39,15,10
Del Norte,4/3/20,1,0,0,2,0,0
El Dorado,4/3/20,16,0,15,9,0,4
Fresno,4/3/20,98,1,15,81,7,16
Glenn,4/3/20,2,0,0,0,0,0
Humboldt,4/3/20,34,0,1,7,0,0
Imperial,4/3/20,35,0,9,7,7,0
Inyo,4/3/20,10,0,8,102,1,2
Kern,4/3/20,87,1,35,73,12,16
Kings,4/3/20,3,0,0,3,1,0
Lake,4/3/20,0,0,0,2,0,1
Lassen,4/3/20,0,0,0,3,0,0
Los Angeles,4/3/20,4566,91,962,1239,422,209
Madera,4/3/20,28,2,0,5,0,1
Marin,4/3/20,106,6,6,16,3,5
Mariposa,4/3/20,0,0,0,2,0,0
Mendocino,4/3/20,4,0,0,5,0,1
Merced,4/3/20,9,0,4,5,1,1
Modoc,4/3/20,0,0,0,0,0,0
Mono,4/3/20,18,1,18,2,0,0
Monterey,4/3/20,58,2,16,18,3,1
Napa,4/3/20,13,1,1,9,0,1
Nevada,4/3/20,19,1,2,4,2,1
Orange,4/3/20,713,13,131,182,66,36
Placer,4/3/20,76,2,21,23,10,1
Plumas,4/3/20,2,0,0,0,0,0
Riverside,4/3/20,540,14,105,182,44,59
Sacramento,4/3/20,363,11,77,76,28,17
San Benito,4/3/20,22,1,2,0,2,0
San Bernardino,4/3/20,356,11,118,204,44,53
San Diego,4/3/20,1114,17,171,308,84,28
San Francisco,4/3/20,506,6,80,71,39,8
San Joaquin,4/3/20,162,10,41,38,18,8
San Luis Obispo,4/3/20,82,0,4,5,3,2
San Mateo,4/3/20,474,13,65,39,26,4
Santa Barbara,4/3/20,154,1,27,29,18,4
Santa Clara,4/3/20,983,39,164,83,71,17
Santa Cruz,4/3/20,52,1,4,8,3,0
Shasta,4/3/20,10,1,2,9,1,3
Sierra,4/3/20,0,0,,,,
Siskiyou,4/3/20,3,0,0,3,0,1
Solano,4/3/20,72,1,16,21,7,5
Sonoma,4/3/20,84,1,6,24,2,3
Stanislaus,4/3/20,48,0,28,45,12,8
Sutter,4/3/20,12,1,0,0,,
Tehama,4/3/20,1,0,0,0,0,0
Trinity,4/3/20,0,0,0,0,0,0
Tulare,4/3/20,73,3,6,15,5,2
Tuolumne,4/3/20,1,0,0,0,0,0
Unassigned,4/3/20,54,1,,,,
Ventura,4/3/20,186,6,22,116,6,28
Yolo,4/3/20,33,1,2,7,3,6
Yuba,4/3/20,6,0,2,12,2,2
Alameda,4/4/20,468,12,60,95,35,18
Alpine,4/4/20,1,0,,,,
Amador,4/4/20,2,0,0,0,0,0
Butte,4/4/20,10,0,3,14,1,4
Calaveras,4/4/20,3,0,0,1,0,0
Colusa,4/4/20,1,0,1,0,1,0
Contra Costa,4/4/20,382,5,30,47,12,7
Del Norte,4/4/20,1,0,0,2,0,0
El Dorado,4/4/20,19,0,15,9,0,3
Fresno,4/4/20,102,1,14,93,7,20
Glenn,4/4/20,2,0,0,0,0,0
Humboldt,4/4/20,29,0,1,4,0,0
Imperial,4/4/20,42,1,9,10,5,2
Inyo,4/4/20,10,0,8,106,1,1
Kern,4/4/20,103,2,33,54,14,11
Kings,4/4/20,3,0,1,9,1,0
Lake,4/4/20,0,0,0,4,0,1
Lassen,4/4/20,0,0,0,0,0,0
Los Angeles,4/4/20,5275,117,1007,1190,449,181
Madera,4/4/20,27,2,0,4,0,0
Marin,4/4/20,111,6,5,16,3,5
Mariposa,4/4/20,0,0,0,2,0,0
Mendocino,4/4/20,4,0,0,3,0,1
Merced,4/4/20,11,0,5,14,1,1
Modoc,4/4/20,0,0,0,0,0,0
Mono,4/4/20,18,1,20,2,0,0
Monterey,4/4/20,61,2,16,25,4,2
Napa,4/4/20,15,2,1,8,0,1
Nevada,4/4/20,19,1,2,6,2,2
Orange,4/4/20,781,15,143,213,70,45
Placer,4/4/20,87,2,23,14,10,1
Plumas,4/4/20,2,0,0,0,0,0
Riverside,4/4/20,652,15,126,186,39,56
Sacramento,4/4/20,393,11,69,76,25,18
San Benito,4/4/20,22,1,2,3,2,0
San Bernardino,4/4/20,373,13,138,254,51,66
San Diego,4/4/20,1211,18,177,218,86,19
San Francisco,4/4/20,537,6,80,65,37,7
San Joaquin,4/4/20,171,10,43,30,16,7
San Luis Obispo,4/4/20,82,0,4,6,3,3
San Mateo,4/4/20,520,17,66,19,25,6
Santa Barbara,4/4/20,167,1,28,34,18,2
Santa Clara,4/4/20,1045,39,159,79,72,19
Santa Cruz,4/4/20,56,1,4,6,3,0
Shasta,4/4/20,11,2,2,10,4,0
Sierra,4/4/20,0,0,,,,
Siskiyou,4/4/20,3,0,0,2,0,1
Solano,4/4/20,79,1,16,19,7,2
Sonoma,4/4/20,88,1,7,16,2,6
Stanislaus,4/4/20,51,0,30,45,12,9
Sutter,4/4/20,14,1,0,0,,
Tehama,4/4/20,1,0,0,1,0,0
Trinity,4/4/20,0,0,0,0,0,0
Tulare,4/4/20,79,4,8,20,5,1
Tuolumne,4/4/20,1,0,0,1,0,1
Unassigned,4/4/20,52,1,,,,
Ventura,4/4/20,194,6,21,127,7,25
Yolo,4/4/20,40,2,4,5,3,3
Yuba,4/4/20,7,0,2,16,2,2
Alameda,4/5/20,475,12,72,87,39,13
Alpine,4/5/20,1,0,,,,
Amador,4/5/20,2,0,0,0,0,0
Butte,4/5/20,10,0,2,16,1,6
Calaveras,4/5/20,3,0,0,0,0,0
Colusa,4/5/20,1,0,1,0,1,0
Contra Costa,4/5/20,415,6,29,35,15,10
Del Norte,4/5/20,1,0,0,1,0,0
El Dorado,4/5/20,19,0,16,6,0,3
Fresno,4/5/20,102,1,16,81,8,15
Glenn,4/5/20,2,0,0,0,0,0
Humboldt,4/5/20,29,0,2,3,0,0
Imperial,4/5/20,42,1,9,9,8,1
Inyo,4/5/20,10,0,9,106,1,0
Kern,4/5/20,109,2,23,27,12,4
Kings,4/5/20,4,0,3,1,2,0
Lake,4/5/20,0,0,0,4,0,2
Lassen,4/5/20,0,0,0,0,0,0
Los Angeles,4/5/20,5892,130,1094,1082,473,166
Madera,4/5/20,27,2,0,1,0,0
Marin,4/5/20,113,6,5,15,3,5
Mariposa,4/5/20,0,0,0,2,0,0
Mendocino,4/5/20,4,0,0,3,0,2
Merced,4/5/20,16,0,15,10,1,3
Modoc,4/5/20,0,0,0,0,0,0
Mono,4/5/20,18,1,20,2,0,0
Monterey,4/5/20,61,2,16,15,4,0
Napa,4/5/20,15,2,1,8,0,1
Nevada,4/5/20,19,1,2,4,2,1
Orange,4/5/20,820,15,144,221,70,46
Placer,4/5/20,86,3,23,13,10,1
Plumas,4/5/20,2,0,0,0,0,0
Riverside,4/5/20,669,17,129,207,47,60
Sacramento,4/5/20,393,11,64,78,23,26
San Benito,4/5/20,22,1,3,0,2,0
San Bernardino,4/5/20,375,13,146,240,59,54
San Diego,4/5/20,1328,19,179,220,89,31
San Francisco,4/5/20,559,6,79,68,37,11
San Joaquin,4/5/20,179,10,46,24,17,4
San Luis Obispo,4/5/20,83,1,2,11,2,9
San Mateo,4/5/20,528,19,69,15,24,6
Santa Barbara,4/5/20,171,1,31,26,18,2
Santa Clara,4/5/20,1052,42,166,69,68,18
Santa Cruz,4/5/20,59,1,5,12,4,4
Shasta,4/5/20,11,2,8,11,4,0
Sierra,4/5/20,0,0,,,,
Siskiyou,4/5/20,3,0,0,2,0,2
Solano,4/5/20,78,1,15,17,6,24
Sonoma,4/5/20,88,1,6,21,2,6
Stanislaus,4/5/20,51,0,30,25,14,5
Sutter,4/5/20,14,1,0,0,0,0
Tehama,4/5/20,1,0,0,1,0,0
Trinity,4/5/20,0,0,0,0,0,0
Tulare,4/5/20,81,4,4,20,8,2
Tuolumne,4/5/20,1,0,0,0,0,0
Unassigned,4/5/20,52,1,,,,
Ventura,4/5/20,196,6,21,128,7,28
Yolo,4/5/20,37,2,3,6,3,3
Yuba,4/5/20,7,0,1,14,1,1
Alameda,4/6/20,527,13,79,70,43,19
Alpine,4/6/20,1,0,,,,
Amador,4/6/20,2,0,0,0,0,0
Butte,4/6/20,11,0,1,15,1,5
Calaveras,4/6/20,4,0,0,0,0,0
Colusa,4/6/20,1,0,0,0,0,0
Contra Costa,4/6/20,447,7,30,28,15,11
Del Norte,4/6/20,2,0,0,3,0,0
El Dorado,4/6/20,23,0,16,1,0,0
Fresno,4/6/20,122,1,18,81,11,20
Glenn,4/6/20,2,0,0,0,0,0
Humboldt,4/6/20,37,0,3,12,0,3
Imperial,4/6/20,47,1,9,14,7,2
Inyo,4/6/20,11,0,9,114,1,0
Kern,4/6/20,117,2,24,36,12,5
Kings,4/6/20,3,0,3,3,2,0
Lake,4/6/20,1,0,0,8,0,2
Lassen,4/6/20,0,0,0,0,0,0
Los Angeles,4/6/20,6346,145,1166,1070,486,175
Madera,4/6/20,29,2,0,2,0,1
Marin,4/6/20,119,7,8,8,4,4
Mariposa,4/6/20,0,0,0,3,0,0
Mendocino,4/6/20,4,0,0,2,0,2
Merced,4/6/20,25,1,4,2,0,2
Modoc,4/6/20,0,0,0,0,0,0
Mono,4/6/20,18,1,20,2,0,0
Monterey,4/6/20,62,2,16,15,5,1
Napa,4/6/20,18,2,0,7,0,0
Nevada,4/6/20,19,1,1,5,1,2
Orange,4/6/20,910,17,145,171,73,33
Placer,4/6/20,90,3,20,12,10,1
Plumas,4/6/20,2,0,0,0,0,0
Riverside,4/6/20,854,17,129,193,46,65
Sacramento,4/6/20,448,15,77,78,26,19
San Benito,4/6/20,25,1,3,3,2,0
San Bernardino,4/6/20,550,13,148,185,60,43
San Diego,4/6/20,1406,19,187,224,83,25
San Francisco,4/6/20,586,6,80,71,34,9
San Joaquin,4/6/20,191,10,31,32,14,3
San Luis Obispo,4/6/20,85,1,2,3,2,2
San Mateo,4/6/20,569,20,68,20,25,5
Santa Barbara,4/6/20,189,2,34,26,19,5
Santa Clara,4/6/20,1128,43,181,49,79,10
Santa Cruz,4/6/20,65,1,5,9,4,2
Shasta,4/6/20,16,3,6,3,2,2
Sierra,4/6/20,0,0,,,,
Siskiyou,4/6/20,4,0,0,0,0,0
Solano,4/6/20,95,1,15,21,6,6
Sonoma,4/6/20,102,1,6,18,2,4
Stanislaus,4/6/20,72,0,28,28,12,4
Sutter,4/6/20,14,2,0,0,,
Tehama,4/6/20,1,0,0,0,0,0
Trinity,4/6/20,0,0,0,0,0,0
Tulare,4/6/20,126,5,12,24,8,3
Tuolumne,4/6/20,1,0,0,0,0,0
Unassigned,4/6/20,53,2,,,,
Ventura,4/6/20,234,6,22,106,9,20
Yolo,4/6/20,43,1,4,0,3,4
Yuba,4/6/20,8,0,1,19,1,3
Alameda,4/7/20,560,14,76,84,43,25
Alpine,4/7/20,1,0,,,,
Amador,4/7/20,2,0,0,0,0,0
Butte,4/7/20,11,0,1,14,1,5
Calaveras,4/7/20,5,0,0,1,0,0
Colusa,4/7/20,2,0,0,0,0,0
Contra Costa,4/7/20,471,7,31,38,17,9
Del Norte,4/7/20,2,0,0,3,0,1
El Dorado,4/7/20,22,0,16,2,0,3
Fresno,4/7/20,138,3,20,82,11,13
Glenn,4/7/20,2,0,0,0,0,0
Humboldt,4/7/20,40,0,2,7,0,0
Imperial,4/7/20,53,2,9,14,7,2
Inyo,4/7/20,11,0,9,121,1,0
Kern,4/7/20,134,2,28,91,14,13
Kings,4/7/20,5,0,3,4,2,0
Lake,4/7/20,1,0,0,0,0,0
Lassen,4/7/20,0,0,0,1,0,0
Los Angeles,4/7/20,6885,170,1251,1350,517,162
Madera,4/7/20,28,2,0,3,0,1
Marin,4/7/20,122,7,6,5,4,4
Mariposa,4/7/20,0,0,0,3,0,0
Mendocino,4/7/20,4,0,0,2,0,0
Merced,4/7/20,27,1,3,3,0,3
Modoc,4/7/20,0,0,0,1,0,0
Mono,4/7/20,18,1,20,2,0,0
Monterey,4/7/20,63,2,18,25,5,4
Napa,4/7/20,18,2,0,5,0,3
Nevada,4/7/20,20,1,1,4,1,2
Orange,4/7/20,971,19,143,144,71,29
Placer,4/7/20,94,3,19,18,9,3
Plumas,4/7/20,3,0,0,1,0,0
Riverside,4/7/20,905,25,129,207,57,57
Sacramento,4/7/20,513,18,74,91,28,18
San Benito,4/7/20,26,2,3,3,2,0
San Bernardino,4/7/20,554,18,146,178,54,49
San Diego,4/7/20,1456,31,203,124,87,29
San Francisco,4/7/20,636,6,88,116,36,9
San Joaquin,4/7/20,198,12,31,33,14,4
San Luis Obispo,4/7/20,87,1,2,5,2,4
San Mateo,4/7/20,573,22,63,13,26,2
Santa Barbara,4/7/20,209,2,41,8,23,1
Santa Clara,4/7/20,1193,46,187,47,77,7
Santa Cruz,4/7/20,67,1,4,4,4,3
Shasta,4/7/20,16,3,5,8,2,3
Sierra,4/7/20,0,0,,,,
Siskiyou,4/7/20,4,0,0,1,0,1
Solano,4/7/20,99,1,14,24,7,6
Sonoma,4/7/20,102,1,6,28,2,6
Stanislaus,4/7/20,83,0,28,40,13,9
Sutter,4/7/20,16,2,0,0,,
Tehama,4/7/20,1,0,0,1,0,0
Trinity,4/7/20,0,0,0,0,0,0
Tulare,4/7/20,144,5,8,23,5,6
Tuolumne,4/7/20,1,0,0,0,0,0
Unassigned,4/7/20,53,2,,,,
Ventura,4/7/20,247,6,22,68,9,20
Yolo,4/7/20,51,2,2,3,2,1
Yuba,4/7/20,10,0,2,25,1,5
Alameda,4/8/20,594,15,84,69,45,18
Alpine,4/8/20,1,0,,,,
Amador,4/8/20,2,0,0,0,0,0
Butte,4/8/20,11,0,1,15,1,7
Calaveras,4/8/20,5,0,0,2,0,0
Colusa,4/8/20,3,0,0,0,0,0
Contra Costa,4/8/20,481,7,35,50,18,13
Del Norte,4/8/20,2,0,0,2,0,1
El Dorado,4/8/20,25,0,16,3,0,1
Fresno,4/8/20,151,3,22,63,10,8
Glenn,4/8/20,2,0,0,0,0,0
Humboldt,4/8/20,40,0,2,3,0,0
Imperial,4/8/20,59,2,16,7,8,3
Inyo,4/8/20,11,0,9,128,1,1
Kern,4/8/20,198,2,31,57,16,3
Kings,4/8/20,5,0,2,8,1,1
Lake,4/8/20,1,0,0,0,0,1
Lassen,4/8/20,0,0,0,1,0,0
Los Angeles,4/8/20,7505,196,1331,1077,532,211
Madera,4/8/20,28,2,0,6,0,1
Marin,4/8/20,125,7,5,3,4,2
Mariposa,4/8/20,0,0,0,0,0,0
Mendocino,4/8/20,4,0,0,0,0,0
Merced,4/8/20,35,1,1,1,0,2
Modoc,4/8/20,0,0,0,0,0,0
Mono,4/8/20,19,1,19,8,0,0
Monterey,4/8/20,68,3,18,24,5,0
Napa,4/8/20,21,2,0,7,0,1
Nevada,4/8/20,21,1,2,7,2,2
Orange,4/8/20,1034,19,153,181,49,34
Placer,4/8/20,102,4,18,15,10,2
Plumas,4/8/20,3,0,0,1,0,0
Riverside,4/8/20,974,28,149,145,56,41
Sacramento,4/8/20,565,21,76,81,28,12
San Benito,4/8/20,31,2,2,0,1,0
San Bernardino,4/8/20,635,22,132,301,51,53
San Diego,4/8/20,1532,36,225,103,92,24
San Francisco,4/8/20,687,7,90,116,36,17
San Joaquin,4/8/20,211,12,32,19,11,8
San Luis Obispo,4/8/20,90,1,2,13,2,11
San Mateo,4/8/20,608,22,66,20,25,2
Santa Barbara,4/8/20,221,2,42,18,19,1
Santa Clara,4/8/20,1257,47,156,34,70,6
Santa Cruz,4/8/20,69,1,4,9,3,4
Shasta,4/8/20,18,3,4,5,2,2
Sierra,4/8/20,0,0,,,,
Siskiyou,4/8/20,4,0,0,3,0,1
Solano,4/8/20,111,2,15,19,8,2
Sonoma,4/8/20,107,1,6,22,2,5
Stanislaus,4/8/20,86,0,30,35,11,5
Sutter,4/8/20,17,2,0,0,,
Tehama,4/8/20,1,0,0,2,0,0
Trinity,4/8/20,0,0,0,0,0,0
Tulare,4/8/20,145,6,7,16,2,5
Tuolumne,4/8/20,0,0,0,0,0,0
Unassigned,4/8/20,55,2,,,,
Ventura,4/8/20,263,7,18,73,9,14
Yolo,4/8/20,56,3,2,7,1,2
Yuba,4/8/20,10,0,2,24,1,3
Alameda,4/9/20,641,17,80,76,44,18
Alpine,4/9/20,1,0,0,0,0,0
Amador,4/9/20,2,0,0,0,0,0
Butte,4/9/20,12,0,1,14,1,4
Calaveras,4/9/20,5,0,0,0,0,0
Colusa,4/9/20,3,0,0,0,0,1
Contra Costa,4/9/20,505,7,37,64,18,12
Del Norte,4/9/20,2,0,0,2,0,0
El Dorado,4/9/20,25,0,17,3,0,1
Fresno,4/9/20,165,3,25,41,10,9
Glenn,4/9/20,2,0,0,0,0,0
Humboldt,4/9/20,36,0,2,6,0,2
Imperial,4/9/20,67,2,14,10,7,3
Inyo,4/9/20,11,0,9,135,1,0
Kern,4/9/20,241,2,27,35,16,9
Kings,4/9/20,5,0,6,6,3,0
Lake,4/9/20,1,0,0,0,0,1
Lassen,4/9/20,0,0,0,2,0,0
Los Angeles,4/9/20,7919,220,1368,758,541,156
Madera,4/9/20,28,2,0,3,0,2
Marin,4/9/20,126,7,5,7,2,1
Mariposa,4/9/20,0,0,0,0,0,0
Mendocino,4/9/20,4,0,0,0,0,0
Merced,4/9/20,41,3,1,7,0,2
Modoc,4/9/20,0,0,0,0,0,0
Mono,4/9/20,19,1,18,15,0,0
Monterey,4/9/20,70,3,17,26,5,0
Napa,4/9/20,27,2,0,7,0,0
Nevada,4/9/20,23,1,2,4,2,1
Orange,4/9/20,1105,19,146,117,45,29
Placer,4/9/20,107,4,18,12,9,1
Plumas,4/9/20,3,0,0,1,0,0
Riverside,4/9/20,1083,29,201,159,59,34
Sacramento,4/9/20,601,21,74,60,31,11
San Benito,4/9/20,32,2,2,1,1,0
San Bernardino,4/9/20,717,27,136,269,56,41
San Diego,4/9/20,1630,40,227,124,98,18
San Francisco,4/9/20,748,8,88,64,33,13
San Joaquin,4/9/20,223,14,29,18,12,7
San Luis Obispo,4/9/20,93,1,2,10,2,8
San Mateo,4/9/20,630,23,58,14,18,2
Santa Barbara,4/9/20,232,2,40,18,20,2
Santa Clara,4/9/20,1301,49,158,65,70,17
Santa Cruz,4/9/20,73,1,4,14,2,5
Shasta,4/9/20,22,3,5,7,2,1
Sierra,4/9/20,0,0,0,0,0,0
Siskiyou,4/9/20,4,0,0,2,0,0
Solano,4/9/20,118,2,14,9,8,0
Sonoma,4/9/20,113,1,5,21,2,4
Stanislaus,4/9/20,93,0,28,30,11,7
Sutter,4/9/20,17,2,0,0,0,0
Tehama,4/9/20,1,0,0,1,0,1
Trinity,4/9/20,0,0,0,0,0,0
Tulare,4/9/20,147,9,10,11,5,4
Tuolumne,4/9/20,0,0,0,0,0,0
Unassigned,4/9/20,53,2,0,0,0,0
Ventura,4/9/20,273,9,18,69,8,13
Yolo,4/9/20,59,3,2,4,1,2
Yuba,4/9/20,13,0,3,18,2,4
Alameda,4/10/20,706,26,93,71,45,26
Alpine,4/10/20,1,0,0,0,0,0
Amador,4/10/20,5,0,0,0,0,0
Butte,4/10/20,13,0,1,15,1,5
Calaveras,4/10/20,5,0,0,0,0,0
Colusa,4/10/20,3,0,0,0,0,0
Contra Costa,4/10/20,537,9,42,30,17,6
Del Norte,4/10/20,2,0,0,3,0,0
El Dorado,4/10/20,26,0,17,1,0,1
Fresno,4/10/20,186,4,27,41,11,9
Glenn,4/10/20,3,0,0,0,0,0
Humboldt,4/10/20,36,0,2,10,0,3
Imperial,4/10/20,70,3,14,12,8,3
Inyo,4/10/20,11,0,9,135,1,0
Kern,4/10/20,272,3,33,38,15,5
Kings,4/10/20,7,0,8,0,3,0
Lake,4/10/20,3,0,0,1,0,0
Lassen,4/10/20,0,0,0,2,0,0
Los Angeles,4/10/20,8384,241,1299,754,514,142
Madera,4/10/20,29,2,0,5,0,1
Marin,4/10/20,128,10,6,26,1,1
Mariposa,4/10/20,0,0,0,0,0,0
Mendocino,4/10/20,4,0,0,1,0,1
Merced,4/10/20,56,3,0,2,0,1
Modoc,4/10/20,0,0,0,0,0,0
Mono,4/10/20,20,1,0,3,0,0
Monterey,4/10/20,78,3,18,21,5,1
Napa,4/10/20,28,2,0,7,0,4
Nevada,4/10/20,23,1,3,3,2,1
Orange,4/10/20,1167,17,139,129,69,25
Placer,4/10/20,112,7,16,11,9,3
Plumas,4/10/20,3,0,0,0,0,0
Riverside,4/10/20,1162,38,206,141,57,34
Sacramento,4/10/20,642,24,70,45,30,13
San Benito,4/10/20,32,2,2,1,1,0
San Bernardino,4/10/20,779,24,156,295,66,58
San Diego,4/10/20,1695,54,230,124,96,14
San Francisco,4/10/20,797,12,85,46,32,12
San Joaquin,4/10/20,234,14,26,17,14,5
San Luis Obispo,4/10/20,97,1,2,3,2,3
San Mateo,4/10/20,642,21,56,12,18,3
Santa Barbara,4/10/20,254,2,42,13,19,1
Santa Clara,4/10/20,1351,52,151,44,67,5
Santa Cruz,4/10/20,75,1,4,11,3,5
Shasta,4/10/20,24,3,5,7,2,1
Sierra,4/10/20,0,0,0,0,0,0
Siskiyou,4/10/20,5,0,0,0,0,0
Solano,4/10/20,129,2,18,9,9,3
Sonoma,4/10/20,129,2,4,18,1,6
Stanislaus,4/10/20,101,0,27,17,11,3
Sutter,4/10/20,18,2,0,0,0,0
Tehama,4/10/20,1,0,0,1,0,0
Trinity,4/10/20,0,0,0,0,0,0
Tulare,4/10/20,163,11,11,10,6,1
Tuolumne,4/10/20,0,0,0,0,0,1
Unassigned,4/10/20,2,0,0,0,0,0
Ventura,4/10/20,290,9,19,76,8,13
Yolo,4/10/20,62,2,3,2,1,1
Yuba,4/10/20,13,1,2,8,1,0
Alameda,4/11/20,751,26,87,91,46,19
Alpine,4/11/20,1,0,0,0,0,0
Amador,4/11/20,6,0,0,0,0,0
Butte,4/11/20,13,0,2,4,1,1
